SYMBOL,SERIES,OPEN,CLOSE,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
NILAINFRA,EQ,6.4,6.35,6.4,275235,1766393.1,388,INE937C01029
NILASPACES,BE,4.5,4.35,4.55,149292,652212.15,341,INE00S901012
NILKAMAL,EQ,2178,2172.65,2183.05,2986,6527967.95,686,INE310A01015
NIPPOBATRY,EQ,408.95,408.15,408.95,7669,3132887.55,448,INE567A01028
NIRAJ,EQ,30.5,30.2,30.6,15040,445698.15,204,INE368I01016
NITCO,EQ,25.85,24.85,25.25,79597,1977428.05,539,INE858F01012
NITINSPIN,BE,271,270.6,267.8,78670,21422038.45,805,INE229H01012
NITIRAJ,EQ,70,73.8,67.8,34772,2563802.6,425,INE439T01012
NKIND,BE,34.3,35,35.25,209,7359.65,5,INE542C01019
NLCINDIA,EQ,62.2,61.9,62.2,1729706,107464482.4,9606,INE589A01014
NMDC,EQ,153,151.1,151.65,8419192,1273118061,41389,INE584A01023
NOCIL,EQ,217.05,217.25,216.65,400163,87005586.55,5027,INE163A01018
NOIDATOLL,EQ,8.2,8.05,8,224095,1836052.45,435,INE781B01015
NORBTEAEXP,EQ,6.65,7.1,6.85,491,3396.1,3,INE369C01017
NOVARTIND,EQ,645,634.05,642.25,30993,19793161.45,2763,INE234A01025
NPBET,EQ,189,185.98,185.69,475,88126.92,40,INF277K010X4
NPST,SM,65.4,66.5,70.1,3200,211040,2,INE0FFK01017
NRAIL,EQ,275,264.75,270.3,13347,3579022.3,939,INE740D01017
NRBBEARING,EQ,118.6,122.85,117.6,521720,63892408.3,10266,INE349A01021
NRL,SM,161.75,161.75,154.05,6600,1067550,3,INE0JM501013
NSIL,EQ,1578,1534.25,1581.5,1965,3042589.95,457,INE023A01030
NTPC,EQ,132.9,133.45,132.85,11892811,1582986831,55929,INE733E01010
NTPC,N5,1235,1235,1235,3,3705,1,INE733E07JI1
NTPC,N7,13.05,13.08,13.1,15534,203324.01,91,INE733E07JP6
NTPC,ND,1319.99,1315.83,1319.99,6,7894.99,2,INE733E07JW2
NUCLEUS,EQ,445.65,438.7,444.25,29186,12940862.7,1719,INE096B01018
NURECA,EQ,1415,1397.6,1410.05,9894,13963515.1,2149,INE0DSF01015
NUVOCO,EQ,382,389,383.95,159714,61763852.3,6606,INE118D01016
NXTDIGITAL,EQ,426.45,435.9,426.45,34830,14929319.8,1470,INE353A01023
NYKAA,EQ,1548.75,1539.45,1548.75,307516,474144193.2,18805,INE388Y01029
OAL,EQ,784,770.1,784.2,178338,136131325.5,18453,INE959C01023
OBEROIRLTY,EQ,916,922.85,913.55,1261759,1161317234,28651,INE093I01010
OCCL,EQ,830,820.35,838.5,5486,4534043.4,503,INE321D01016
OFSS,EQ,3609,3559.6,3597.3,118421,428649621,12009,INE881D01027
OIL,EQ,235,229.6,230.35,1300988,301057583.3,20153,INE274J01014
OILCOUNTUB,EQ,9.8,10.1,9.8,59242,585291.25,309,INE591A01010
OLECTRA,EQ,662,644.05,657.75,113331,73908384.55,6132,INE260D01016
OMAXAUTO,EQ,47.15,46.6,47.1,43991,2069628.75,311,INE090B01011
OMAXE,EQ,85.4,85.5,88.2,408836,35202074.75,5523,INE800H01010
OMINFRAL,EQ,44.9,43.8,44.9,152708,6783536.25,962,INE239D01028
OMKARCHEM,EQ,35,34.05,35.4,54370,1873093.8,510,INE474L01016
ONELIFECAP,EQ,12.75,12.15,12.3,8229,101687.7,58,INE912L01015
ONEPOINT,EQ,11.5,11.3,11.2,97130,1086927.1,289,INE840Y01029
ONGC,EQ,176.5,175.6,175.45,10994784,1935685831,65990,INE213A01029
ONMOBILE,EQ,121.9,121.35,120.95,588643,72043421.6,5208,INE809I01019
ONWARDTEC,EQ,339.7,331.7,334.6,9424,3144027.5,626,INE229A01017
OPTIEMUS,EQ,311.85,323.15,307.9,366642,118414731.7,8365,INE350C01017
ORBTEXP,EQ,145.3,139.6,144.55,353165,50099815.15,13966,INE231G01010
ORCHPHARMA,EQ,285,287.45,283.65,25362,7163553.65,551,INE191A01027
ORICONENT,EQ,35,34.2,34.9,86694,3020616.4,525,INE730A01022
ORIENTABRA,EQ,28.15,28.2,28,142737,4018528.9,710,INE569C01020
ORIENTALTL,BE,11.45,11.65,11.2,101205,1158787.35,185,INE998H01012
ORIENTBELL,EQ,520.55,517.5,520.15,25838,13540700.6,1657,INE607D01018
ORIENTCEM,EQ,153.7,152.75,153.7,257928,39489726.95,7991,INE876N01018
ORIENTELEC,EQ,315.6,325.8,315.1,344285,110872000.5,12874,INE142Z01019
ORIENTHOT,EQ,59.95,60.2,59.25,911293,55420248.05,6738,INE750A01020
ORIENTLTD,EQ,73.9,70.45,71.2,15232,1087496.6,268,INE609C01024
ORIENTPPR,EQ,34.1,33.25,33.9,2260991,76027459.7,6971,INE592A01026
ORISSAMINE,EQ,2748.05,2714.9,2734.35,14973,41025280.35,2547,INE725E01024
ORTINLAB,EQ,25.95,25.1,25.45,32239,810555.85,408,INE749B01020
OSIAHYPER,SM,255,255,252,2000,510000,3,INE06IR01013
OSWALAGRO,EQ,27.9,28.05,28.4,39125,1111253.95,405,INE142A01012
OSWALSEEDS,SM,59.95,59.95,63.1,4000,239800,1,INE00IK01011
PAEL,EQ,6.55,6.55,6.85,10346,67766.3,82,INE766A01018
PAGEIND,EQ,41826,42024.55,41790.1,17247,725330406.9,9550,INE761H01022
PAISALO,EQ,630,649.8,629.5,97065,63460235.45,4785,INE420C01042
PALASHSECU,BE,106.6,109,112.2,3958,427263.2,51,INE471W01019
PALREDTEC,BE,151.5,157.8,155.05,50960,7744967.5,487,INE218G01033
PANACEABIO,EQ,182.75,182.2,183.05,303438,55405378.5,2067,INE922B01023
PANACHE,EQ,54.8,52.1,52.65,13371,695653,155,INE895W01019
PANAMAPET,EQ,290,280.05,287.7,133297,37812623.15,5395,INE305C01029
PANSARI,BE,136.7,136.65,130.2,2567,350059.55,52,INE697V01011
PAR,EQ,167.9,162.6,164.4,17400,2846875.7,216,INE04LG01015
PARACABLES,BE,12,11.6,11.8,137681,1615355.9,298,INE074B01023
PARAGMILK,EQ,101.8,101.95,100.8,348598,35704277.4,3570,INE883N01014
PARAS,EQ,674.95,684.6,640.1,1442632,996886240.7,63545,INE045601015
PARSVNATH,BE,14.05,14.5,14.25,179819,2593084.8,360,INE561H01026
PARTYCRUS,SM,101,101.15,103.1,12000,1198900,6,INE06ZX01015
PASHUPATI,SM,105.15,121.75,121.7,8000,919040,5,INE124Y01010
PASUPTAC,EQ,41.8,41.05,41.25,205752,8586131.7,1451,INE818B01023
PATELENG,BE,24.9,23.95,24.5,658110,15873936.85,958,INE244B01030
PATINTLOG,EQ,14.85,14.15,14.6,103725,1494649.85,439,INE529D01014
PATINTPP,E1,4.6,4.45,4.5,18431,82003.4,79,IN9529D01012
PAYTM,EQ,552,524.3,544,8888824,4805178652,229037,INE982J01020
PBAINFRA,EQ,12,12.4,11.85,35449,434590.85,151,INE160H01019
PCBL,EQ,221,225.4,220.3,741770,165915672.5,11353,INE602A01023
PCHFL,N8,1040,1040,1040,25,26000,1,INE516Y07410
PCHFL,NA,1060,1061.9,1058.99,104,110247.6,2,INE516Y07428
PCJEWELLER,EQ,20.4,20.15,20.4,689740,13981570.5,1760,INE785M01013
PDMJEPAPER,EQ,41.35,39.5,40.95,219081,8794653.35,1891,INE865T01018
PDSL,EQ,1756.65,1761.45,1782.85,1592,2831551.3,293,INE111Q01013
PEARLPOLY,EQ,18.8,18.4,18.4,6185,113679.55,93,INE844A01013
PEL,EQ,2233.45,2224.35,2202.15,490965,1087635871,32524,INE140A01024
PENIND,EQ,37.05,36.85,36.9,938688,34589268.55,2513,INE932A01024
PENINLAND,BE,12.5,11.75,12.05,128741,1521126.2,211,INE138A01028
PENTAGOLD,SM,194,195,194,6000,1167000,2,INE175Y01012
PERSISTENT,EQ,4558,4490.8,4541.8,254432,1143621509,46783,INE262H01013
PETRONET,EQ,195,196.05,194.7,3918921,763101482.4,26146,INE347G01014
PFC,EQ,117,116,116.45,2903814,337524129.6,15621,INE134E01011
PFC,N5,1203,1205,1204.07,115,138545,2,INE134E07208
PFC,N8,1381.03,1384,1381.05,1450,2011497.5,34,INE134E07463
PFIZER,EQ,4488,4442,4435.65,126511,573987434.4,12241,INE182A01018
PFOCUS,EQ,86.35,88.1,85.4,153334,13661915.4,886,INE367G01038
PFS,EQ,16.45,16.35,16.45,842367,13868847.55,1565,INE560K01014
PGEL,EQ,695.8,673.3,687.5,25900,17607720.25,3271,INE457L01011
PGHH,EQ,15500,15297.95,15487.75,7325,112273558.8,1540,INE179A01014
PGHL,EQ,4301.1,4260.6,4289.4,15924,67864788.85,3368,INE199A01012
PGIL,EQ,416.5,411.5,414.8,9871,4101628.1,980,INE940H01014
PGINVIT,IV,126.99,127,126.84,1058981,134467944.8,1028,INE0GGX23010
PHOENIXLTD,EQ,1023.65,1017.25,1011.6,105990,108474850,15955,INE211B01039
PIDILITIND,EQ,2460,2433.9,2450.35,319750,777415583.6,25660,INE318A01026
PIGL,SM,40.5,40.5,41.35,2000,81000,1,INE557Z01018
PIIND,EQ,2790,2740.7,2777.75,317187,864040430.4,30932,INE603J01030
PILANIINVS,EQ,1716.1,1714.5,1704.7,7079,12175171.85,366,INE417C01014
PILITA,BE,10.2,9.6,9.9,423486,4109098.1,1066,INE600A01035
